Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
23676	0.53855	-8.0505e-002	3.2192e-002	8.0355e-003
23677	0.54268	-8.6329e-002	2.2856e-002	8.0821e-003
23678	0.56235	-8.4616e-002	2.3285e-002	8.6291e-003
23679	0.44342	-9.1504e-002	7.5855e-003	5.6186e-003
23680	0.42407	-9.312e-002	7.2698e-003	5.1867e-003
23681	0.43372	-8.9312e-002	3.1113e-002	5.4539e-003
23682	0.42109	-9.616e-002	2.2651e-002	5.1141e-003
23683	0.44623	-9.4646e-002	2.0541e-002	5.6662e-003
23684	0.37292	-9.7392e-002	6.4288e-003	4.1213e-003
23685	0.4029	-9.4888e-002	6.9229e-003	4.7323e-003
23686	0.41277	-9.1092e-002	3.0808e-002	4.9958e-003
23687	0.37125	-9.2325e-002	3.8789e-002	4.1741e-003
23688	0.39992	-9.7928e-002	2.2304e-002	4.6632e-003
23689	0.37821	-9.9206e-002	2.3996e-002	4.2279e-003
23690	0.28554	-0.10469	4.9696e-003	2.558e-003
23691	0.2656	-0.10635	4.6326e-003	2.2493e-003
23692	0.28084	-0.10343	2.3013e-002	2.5097e-003
23693	0.21647	-0.11045	3.7959e-003	1.5711e-003
23694	0.24586	-0.108	4.2976e-003	1.9628e-003
23695	0.22576	-0.10762	2.4808e-002	1.7219e-003
23696	0.22664	-0.11188	2.209e-002	1.7075e-003
23697	0.24716	-0.10916	2.5351e-002	1.9986e-003
23698	0.12766	-0.11786	2.2602e-003	6.2946e-004
23699	0.10771	-0.11953	1.9112e-003	4.6946e-004
23700	0.12312	-0.11476	3.0642e-002	6.4555e-004
23701	0.10604	-0.12136	2.2528e-002	4.7218e-004
23702	0.12795	-0.12014	2.0716e-002	6.3931e-004
23703	5.8583e-002	-0.12363	1.045e-003	1.7281e-004
23704	8.7978e-002	-0.12117	1.5644e-003	3.3375e-004
23705	7.1717e-002	-0.121	2.0393e-002	2.5972e-004
23706	2.7934e-002	1.0287	-4.6984e-004	4.4312e-005
23707	4.6983e-002	1.0254	-7.855e-004	1.0307e-004
23708	2.5883e-002	1.0273	9.4421e-003	4.2268e-005
23709	4.051e-002	1.024	1.1084e-002	8.9467e-005
23710	3.3305e-002	1.0273	1.4117e-002	6.6202e-005
23711	6.6459e-002	1.022	-1.1042e-003	1.8682e-004
23712	8.5934e-002	1.0186	-1.4189e-003	2.948e-004
23713	7.5972e-002	1.0196	7.2713e-003	2.4336e-004
23714	0.12583	1.0117	-2.0508e-003	5.9089e-004
23715	0.10541	1.0152	-1.7295e-003	4.2679e-004
23716	0.11055	1.0134	7.949e-003	4.7574e-004
23717	0.12785	1.011	5.0345e-003	6.1281e-004
23718	0.18425	1.0014	-2.9456e-003	1.1774e-003
23719	0.20278	0.9982	-3.2218e-003	1.3886e-003
23720	0.18493	1.0006	7.2924e-003	1.1915e-003
23721	0.20413	0.99778	4.684e-003	1.4065e-003
23722	0.22225	0.99479	-3.508e-003	1.627e-003
23723	0.24173	0.99138	-3.7902e-003	1.8821e-003
23724	0.2236	0.99445	4.3682e-003	1.6451e-003
23725	0.24022	0.99097	7.4963e-003	1.8691e-003
23726	0.28213	0.98429	-4.3627e-003	2.4649e-003
23727	0.2612	0.98796	-4.0683e-003	2.154e-003
23728	0.25969	0.98767	7.177e-003	2.1387e-003
23729	0.2802	0.98422	6.6714e-003	2.4405e-003
23730	0.35856	0.97086	-5.3976e-003	3.7984e-003
23731	0.35928	0.9701	4.4432e-003	3.8157e-003
23732	0.34264	0.97118	8.5543e-003	3.5078e-003
23733	0.37803	0.96743	-5.6513e-003	4.1949e-003
23734	0.3975	0.964	-5.9008e-003	4.6145e-003
23735	0.37876	0.96753	4.2706e-003	4.2088e-003
23736	0.39653	0.96436	4.8582e-003	4.5926e-003
23737	0.43841	0.95679	-6.4117e-003	5.5689e-003
23738	0.41697	0.96057	-6.1462e-003	5.0564e-003
23739	0.416	0.96102	4.5654e-003	5.0326e-003
23740	0.43386	0.95803	3.7787e-003	5.455e-003
23741	0.51432	0.9434	-7.3116e-003	7.5758e-003
23742	0.5143	0.94392	1.7313e-003	7.5692e-003
23743	0.49766	0.94593	5.6867e-003	7.1176e-003
23744	0.53379	0.93996	-7.5323e-003	8.1316e-003
23745	0.55326	0.93652	-7.7489e-003	8.7041e-003
23746	0.53378	0.94089	1.487e-003	8.1211e-003
23747	0.54971	0.93789	4.0187e-003	8.5914e-003
23748	0.59468	0.92919	-8.1959e-003	9.9795e-003
23749	0.57272	0.93308	-7.9614e-003	9.2939e-003
23750	0.58553	0.93192	1.2734e-003	9.6794e-003
23751	0.67007	0.91585	-8.9613e-003	1.2511e-002
23752	0.66136	0.91878	-6.6214e-004	1.2189e-002
23753	0.68954	0.91241	-9.1488e-003	1.3214e-002
23754	0.709	0.90896	-9.3321e-003	1.3937e-002
23755	0.69793	0.91236	2.1551e-003	1.3508e-002
