Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
259	0.4737	0.82604	-4.8984e-002	6.6313e-002
260	0.3158	0.84872	-5.0593e-002	4.5829e-002
261	0.1579	0.87139	-5.2202e-002	1.7947e-002
262	2.8421	0.44436	-2.5287e-002	0.1665
263	2.6842	0.46332	-2.7456e-002	0.1226
264	2.5263	0.48225	-2.9624e-002	0.10758
265	2.3685	0.50117	-3.1792e-002	8.2633e-002
266	2.2106	0.52006	-3.396e-002	7.4711e-002
267	2.0527	0.53895	-3.6128e-002	6.008e-002
268	1.8948	0.55783	-3.8295e-002	6.0282e-002
269	1.7369	0.5767	-4.0463e-002	5.8652e-002
270	1.579	0.59556	-4.2631e-002	6.5175e-002
271	1.4211	0.61441	-4.4799e-002	7.1238e-002
272	1.2632	0.63326	-4.6968e-002	7.7926e-002
273	1.1053	0.65211	-4.9136e-002	8.3873e-002
274	0.9474	0.67095	-5.1305e-002	8.4346e-002
275	0.7895	0.68979	-5.3474e-002	8.2904e-002
276	0.6316	0.70863	-5.5643e-002	7.3701e-002
277	0.4737	0.72746	-5.7812e-002	5.9762e-002
278	0.3158	0.74629	-5.9981e-002	4.3009e-002
279	0.1579	0.76512	-6.215e-002	1.7782e-002
280	2.8421	0.40346	-2.5705e-002	0.1392
281	2.6842	0.41857	-2.8435e-002	9.5709e-002
282	2.5263	0.43366	-3.1164e-002	8.0133e-002
283	2.3685	0.44873	-3.3893e-002	5.5856e-002
284	2.2106	0.46378	-3.6621e-002	4.6933e-002
285	2.0527	0.47882	-3.9349e-002	3.4617e-002
286	1.8948	0.49385	-4.2078e-002	3.3773e-002
287	1.7369	0.50888	-4.4806e-002	3.3241e-002
288	1.579	0.52389	-4.7535e-002	3.9092e-002
289	1.4211	0.5389	-5.0263e-002	4.6304e-002
290	1.2632	0.55391	-5.2992e-002	5.4526e-002
291	1.1053	0.56891	-5.5721e-002	6.2521e-002
292	0.94739	0.5839	-5.8451e-002	6.6047e-002
293	0.78949	0.5989	-6.118e-002	6.7477e-002
294	0.6316	0.61389	-6.391e-002	6.2053e-002
295	0.4737	0.62888	-6.6639e-002	5.135e-002
296	0.3158	0.64387	-6.9369e-002	3.8086e-002
297	0.1579	0.65885	-7.2099e-002	1.6456e-002
298	2.8421	0.36256	-2.6124e-002	0.10941
299	2.6842	0.37383	-2.9415e-002	6.951e-002
300	2.5263	0.38507	-3.2704e-002	5.2876e-002
301	2.3684	0.39629	-3.5993e-002	3.3516e-002
302	2.2106	0.4075	-3.9282e-002	2.6365e-002
303	2.0527	0.4187	-4.2571e-002	2.3636e-002
304	1.8948	0.42988	-4.586e-002	2.2665e-002
305	1.7369	0.44106	-4.9149e-002	2.1196e-002
306	1.579	0.45223	-5.2438e-002	2.0785e-002
307	1.4211	0.46339	-5.5728e-002	2.4611e-002
308	1.2632	0.47455	-5.9017e-002	3.2315e-002
309	1.1053	0.48571	-6.2307e-002	4.1001e-002
310	0.94739	0.49686	-6.5596e-002	4.7304e-002
311	0.78949	0.50801	-6.8886e-002	5.0983e-002
312	0.63159	0.51915	-7.2177e-002	4.9133e-002
313	0.47369	0.5303	-7.5467e-002	4.2109e-002
314	0.3158	0.54144	-7.8757e-002	3.1553e-002
315	0.1579	0.55258	-8.2047e-002	1.4077e-002
316	2.8421	0.32166	-2.6543e-002	7.8793e-002
317	2.6842	0.32908	-3.0394e-002	4.5877e-002
318	2.5263	0.33648	-3.4244e-002	3.2148e-002
319	2.3684	0.34386	-3.8094e-002	2.9198e-002
320	2.2105	0.35122	-4.1943e-002	3.5044e-002
321	2.0526	0.35857	-4.5793e-002	4.0882e-002
322	1.8948	0.36591	-4.9642e-002	4.2868e-002
323	1.7369	0.37324	-5.3492e-002	3.8577e-002
324	1.579	0.38057	-5.7342e-002	3.1853e-002
325	1.4211	0.38789	-6.1192e-002	2.3573e-002
326	1.2632	0.3952	-6.5042e-002	1.9439e-002
327	1.1053	0.40251	-6.8892e-002	2.2732e-002
328	0.94738	0.40982	-7.2742e-002	2.9626e-002
329	0.78948	0.41712	-7.6593e-002	3.4375e-002
330	0.63159	0.42442	-8.0443e-002	3.5931e-002
331	0.47369	0.43172	-8.4294e-002	3.1885e-002
332	0.31579	0.43901	-8.8145e-002	2.452e-002
333	0.1579	0.44631	-9.1996e-002	1.102e-002
334	2.8421	0.28076	-2.6962e-002	5.0003e-002
335	2.6842	0.28434	-3.1374e-002	3.1679e-002
336	2.5263	0.28789	-3.5784e-002	3.5336e-002
337	2.3684	0.29142	-4.0195e-002	4.8178e-002
338	2.2105	0.29494	-4.4605e-002	6.1194e-002
339	2.0526	0.29844	-4.9015e-002	6.7084e-002
